Тип,Номер,Время,Источник,Назначение,Протокол,Детали
DHCP,1,2004-12-05 14:16:24.317453,0.0.0.0,255.255.255.255,Discover,TxID=0x00003d1d
DHCP,2,2004-12-05 14:16:24.317748,192.168.0.1,192.168.0.10,Offer,TxID=0x00003d1d
DHCP,3,2004-12-05 14:16:24.387484,0.0.0.0,255.255.255.255,Request,TxID=0x00003d1e
DHCP,4,2004-12-05 14:16:24.387798,192.168.0.1,192.168.0.10,ACK,TxID=0x00003d1e
DNS,1,2026-02-26 03:44:34.339507,192.168.26.79,192.168.26.80,Query,ds.kaspersky.com
DNS,2,2026-02-26 03:44:34.339677,192.168.26.79,192.168.10.8,Query,ds.kaspersky.com
DNS,3,2026-02-26 03:44:34.515989,192.168.26.194,192.168.26.11,Query,connectivity-check.ubuntu.com
DNS,5,2026-02-26 03:44:35.557943,192.168.26.198,192.168.26.11,Query,_ldap._tcp.dc._msdcs.t1.soc.ecssec.ru
DNS,7,2026-02-26 03:44:36.083352,192.168.26.198,192.168.26.11,Query,_ldap._tcp.dc._msdcs.t1.soc.ecssec.ru
DNS,9,2026-02-26 03:44:37.098930,192.168.26.198,192.168.26.11,Query,_ldap._tcp.dc._msdcs.t1.soc.ecssec.ru
DNS,11,2026-02-26 03:44:38.065928,192.168.26.51,8.8.8.8,Query,wpad.lab.pentest
DNS,12,2026-02-26 03:44:38.067302,192.168.26.51,8.8.8.8,Query,wpad.lab.pentest
DNS,4,2026-02-26 03:44:34.551456,192.168.26.11,192.168.26.194,Response,connectivity-check.ubuntu.com -> 91.189.91.48
DNS,6,2026-02-26 03:44:35.558791,192.168.26.11,192.168.26.198,Response,_ldap._tcp.dc._msdcs.t1.soc.ecssec.ru -> NXDOMAIN
DNS,8,2026-02-26 03:44:36.084103,192.168.26.11,192.168.26.198,Response,_ldap._tcp.dc._msdcs.t1.soc.ecssec.ru -> NXDOMAIN
DNS,10,2026-02-26 03:44:37.099713,192.168.26.11,192.168.26.198,Response,_ldap._tcp.dc._msdcs.t1.soc.ecssec.ru -> NXDOMAIN
DNS,13,2026-02-26 03:44:38.100878,8.8.8.8,192.168.26.51,Response,wpad.lab.pentest -> NXDOMAIN
DNS,14,2026-02-26 03:44:38.102491,8.8.8.8,192.168.26.51,Response,wpad.lab.pentest -> NXDOMAIN
